Root,Frequency,Wordlength
Mephistopheles,1047,14
Worcestershire,233,14
Constantinople,45,14
Massachusetts,9617,13
Liechtenstein,302,13
schizophrenia,69,13
circumference,38,13
Philadelphia,12400,12
Pennsylvania,11217,12
mademoiselle,417,12
Transylvania,370,12
rhododendron,89,12
encylopedia,81,12
entrepreneur,55,12
pumpernickel,50,12
tuberculosis,32,12
hippopotamus,28,12
frankincense,12,12
Indianapolis,9,12
philodendron,6,12
mitochondria,2,12
Connecticut,5036,11
Shakespeare,577,11
Mississippi,339,11
spectacular,289,11
quarterback,243,11
flabbergast,208,11
catastrophe,126,11
manufacture,124,11
Afghanistan,93,11
marshmallow,77,11
Minneapolis,76,11
abracadabra,73,11
caterpillar,57,11
clandestine,45,11
smorgasbord,35,11
connoisseur,31,11
pterodactyl,20,11
bourgeoisie,15,11
vinaigrette,14,11
sagittarius,14,11
chlorophyll,12,11
choreograph,11,11
circumspect,10,11
contrivance,5,11
hippocampus,3,11
experience,297837,10
understand,24605,10
restaurant,13719,10
discipline,13680,10
subsequent,12120,10
parliament,11343,10
deliberate,9699,10
ingredient,6898,10
lieutenant,5306,10
conscience,5016,10
curriculum,4282,10
experience,3088,10
apocalypse,2722,10
camouflage,2619,10
silhouette,2395,10
Washington,2142,10
masquerade,2115,10
California,1972,10
particular,1423,10
condescend,1361,10
leprechaun,1350,10
pedestrian,1347,10
conference,1296,10
repertoire,1126,10
confidence,993,10
quarantine,972,10
euthanasia,794,10
rendezvous,771,10
chimpanzee,739,10
caricature,694,10
salmonella,632,10
accomplice,501,10
atmosphere,493,10
discipline,462,10
delinquent,451,10
palindrome,412,10
prostitute,385,10
chinchilla,351,10
hallelujah,319,10
guillotine,280,10
cellophane,256,10
eucalyptus,237,10
phenomenon,234,10
trampoline,219,10
crustacean,197,10
tambourine,193,10
cornucopia,180,10
participle,171,10
cerebellum,162,10
propaganda,159,10
cappuccino,146,10
chloroform,51,10
chromosome,38,10
silhouette,26,10
cantaloupe,26,10
hieroglyph,18,10
somersault,16,10
crustacean,11,10
marionette,5,10
difficult,70241,9
determine,60442,9
principle,30693,9
architect,30688,9
substance,29594,9
algorithm,20697,9
satellite,19083,9
complaint,17898,9
intellect,17294,9
emergency,14348,9
cartridge,12878,9
pronounce,12358,9
spectrum,11264,9
marijuana,10768,9
programme,9107,9
privilege,8437,9
embarrass,8394,9
holocaust,7056,9
catalogue,6949,9
colleague,6815,9
consensus,6604,9
hurricane,5869,9
obedience,5772,9
symposium,5753,9
artillery,5024,9
valentine,4359,9
neighbour,4163,9
municipal,3461,9
threshold,3365,9
versatile,2703,9
boomerang,2663,9
apparatus,2576,9
boulevard,2551,9
blaspheme,2528,9
ludicrous,2485,9
arrogance,2453,9
etiquette,2411,9
reservoir,2212,9
chameleon,2161,9
supersede,2039,9
magnesium,2018,9
avalanche,1753,9
champaign,1638,9
champagne,1424,9
complete,197347,8
standard,148681,8
continue,141133,8
industry,90514,8
purchase,71764,8
evidence,64156,8
announce,63224,8
February,60970,8
absolute,54752,8
surprise,52522,8
artifact,52054,8
approach,51314,8
straight,49770,8
analysis,47867,8
mountain,45382,8
property,44190,8
platform,42709,8
schedule,38913,8
transmit,35687,8
strength,33552,8
distance,33503,8
instance,33246,8
protocol,31836,8
convince,30130,8
campaign,29165,8
resolute,28537,8
parallel,28529,8
complain,28433,8
exercise,28283,8
attitude,26046,8
conflict,25613,8
sentence,23466,8
converse,23365,8
medicine,21940,8
district,21698,8
neighbor,21533,8
distinct,20481,8
struggle,17425,8
envelope,15552,8
tomorrow,15421,8
assassin,14771,8
ridicule,14318,8
ancestor,13480,8
thorough,12802,8
treasure,12702,8
artifice,11672,8
analogue,11372,8
province,11145,8
criteria,11055,8
paradise,11038,8
currency,10751,8
contrast,10700,8
calendar,10659,8
portrait,10404,8
emphasis,10265,8
marshall,10256,8
molecule,10003,8
stimulus,9750,8
template,9465,8
cassette,9276,8
ceremony,8164,8
concrete,8161,8
interior,7613,8
persuade,7463,8
syndrome,7276,8
discreet,6858,8
pinnacle,6796,8
suspense,6585,8
inferior,6446,8
parasite,6262,8
instinct,6251,8
marathon,6226,8
savannah,6194,8
generous,6130,8
patience,5993,8
mortgage,5559,8
paradigm,5524,8
scramble,4624,8
mushroom,4476,8
skeleton,4472,8
gargoyle,3999,8
article,925892,7
problem,510114,7
because,503563,7
program,481435,7
support,345119,7
compute,344318,7
message,311689,7
develop,284175,7
address,276501,7
believe,243960,7
between,230878,7
thought,209785,7
machine,175428,7
against,172615,7
example,171361,7
contact,165812,7
certain,164499,7
country,161747,7
connect,157501,7
already,146289,7
perform,145804,7
opinion,143824,7
library,142066,7
command,135977,7
advance,126806,7
explain,108567,7
collect,108303,7
profess,104442,7
account,103350,7
protect,96523,7
compare,92875,7
success,90090,7
respond,89025,7
concern,87873,7
commune,87552,7
college,84064,7
consult,84062,7
fortune,79783,7
attempt,78959,7
forward,74120,7
purpose,73204,7
benefit,70422,7
discuss,70044,7
respect,69236,7
improve,65409,7
welcome,62823,7
expense,62114,7
trouble,58639,7
content,57501,7
channel,57176,7
execute,55653,7
courage,52702,7
combine,52483,7
prepare,49566,7
deliver,46873,7
episode,46664,7
foreign,45913,7
strange,45277,7
confuse,44682,7
destroy,42577,7
defense,41732,7
hundred,40714,7
balance,39954,7
license,39208,7
century,39167,7
council,35501,7
counsel,35501,7
comfort,34948,7
suspect,34842,7
catalog,34341,7
achieve,34271,7
hostile,7197,7
residue,4471,7
dolphin,3258,7
entropy,3190,7
shampoo,2861,7
secrete,1835,7
prairie,1711,7
lettuce,985,7
people,798705,6
system,688810,6
please,627103,6
should,624422,6
inform,510787,6
person,385320,6
follow,364417,6
direct,349572,6
change,348247,6
before,347286,6
scribe,343830,6
script,343830,6
though,309331,6
little,289752,6
window,282873,6
around,269331,6
access,261580,6
search,254138,6
reason,246334,6
source,233968,6
define,231501,6
course,213523,6
govern,211374,6
simple,207512,6
friend,204156,6
design,199252,6
engine,194206,6
happen,191083,6
enough,191008,6
origin,187787,6
second,184661,6
divide,182135,6
market,173720,6
school,173427,6
record,160192,6
decide,154821,6
result,151366,6
appear,150702,6
family,145491,6
become,143379,6
common,142732,6
return,134342,6
author,134045,6
pretty,131071,6
colour,127890,6
accept,124806,6
expect,122529,6
nature,119108,6
employ,116155,6
regard,115432,6
detail,112568,6
almost,111601,6
single,110124,6
strong,109989,6
physio,107401,6
couple,107249,6
client,104252,6
select,101048,6
charge,98907,6
handle,96192,6
future,95757,6
notice,95403,6
format,94985,6
minute,94004,6
method,92974,6
custom,92213,6
screen,88645,6
street,86587,6
assume,85322,6
attack,83438,6
accord,79768,6
choice,79143,6
attend,77400,6
health,77200,6
ignore,76989,6
period,75215,6
thread,74493,6
device,74305,6
travel,73210,6
chance,72023,6
switch,68072,6
remain,67420,6
behind,65042,6
toward,64143,6
submit,63960,6
policy,62965,6
across,62336,6
dollar,61968,6
desire,61873,6
strict,61851,6
length,61019,6
effort,60890,6
choose,60564,6
cancel,60287,6
degree,60212,6
moment,59246,6
labour,58951,6
damage,58382,6
assist,57323,6
church,56630,6
island,55973,6
behave,54948,6
insert,53814,6
stupid,53190,6
insult,17344,6
recipe,17152,6
tongue,17148,6
invade,16592,6
horror,16216,6
rocket,16193,6
devote,16187,6
offend,15835,6
castle,14925,6
cruise,14188,6
bullet,13674,6
puzzle,11463,6
morale,10040,6
peddle,1141,6
frivol,1140,6
mingle,1139,6
there,1512659,5
would,1366583,5
thing,1328712,5
about,1310534,5
wrote,1028687,5
write,938692,5
their,844722,5
think,746094,5
serve,651056,5
could,610350,5
where,607399,5
these,591805,5
right,556722,5
first,522731,5
every,521596,5
state,451541,5
point,431824,5
those,415648,5
parts,411489,5
moves,403110,5
moved,403110,5
group,401691,5
place,394083,5
verse,375470,5
drive,369466,5
start,367765,5
still,366293,5
great,353887,5
world,345235,5
press,340039,5
since,320454,5
quire,311285,5
while,298185,5
beast,291736,5
might,288807,5
again,249680,5
check,247357,5
posit,238299,5
price,232103,5
probe,230747,5
human,222937,5
issue,221311,5
organ,219606,5
sound,213436,5
money,212659,5
phone,207292,5
offer,206795,5
month,204828,5
least,201547,5
large,200996,5
agree,196641,5
small,191331,5
close,188225,5
black,186779,5
print,186720,5
allow,185956,5
child,185392,5
class,184646,5
above,177971,5
light,176000,5
three,175690,5
elect,175489,5
force,174868,5
value,171463,5
until,170311,5
level,170113,5
maybe,166009,5
music,163742,5
disco,163318,5
board,163026,5
night,162292,5
white,162243,5
clear,160647,5
stall,156702,5
house,155845,5
limit,155817,5
quite,155011,5
cause,154667,5
claim,152055,5
reply,150700,5
aired,149120,5
stuff,146715,5
sense,144057,5
wrong,143655,5
stops,143437,5
story,142693,5
space,139965,5
learn,139889,5
prime,139856,5
major,138137,5
heard,135881,5
short,134285,5
whole,131881,5
begin,129650,5
color,127890,5
title,127240,5
speak,126284,5
video,125689,5
trade,124068,5
women,123504,5
leave,122742,5
north,122624,5
build,121790,5
often,118292,5
event,117183,5
store,116434,5
mount,116277,5
total,116246,5
argue,113797,5
